,OBJID,RA,DEC,NH,ENERGY_SLOPE,ENERGY_SLOPE_ERROR,EXPOSURE_TIME,nufnu_3keV(erg.s-1.cm-2),nufnu_error_3keV(erg.s-1.cm-2),nufnu_0.5keV(erg.s-1.cm-2),nufnu_error_0.5keV(erg.s-1.cm-2),upper_limit_0.5keV(erg.s-1.cm-2),nufnu_1.5keV(erg.s-1.cm-2),nufnu_error_1.5keV(erg.s-1.cm-2),upper_limit_1.5keV(erg.s-1.cm-2),nufnu_4.5keV(erg.s-1.cm-2),nufnu_error_4.5keV(erg.s-1.cm-2),upper_limit_4.5keV(erg.s-1.cm-2),OBJID,ALPHA_J2000,DELTA_J2000,MAG_AUTO,MAGERR_AUTO,CLASS_STAR,FLUX_RADIUS,FLAGS
0,14,-3.756920833333368,-0.02671805555555556,3.32e+20,0.8,-999/-999,4826.6,5.2588e-14,1.4015999999999999e-14,7.64039e-14,2.36338e-14,-999.0,2.67966e-14,1.65778e-14,-999.0,8.09414e-14,-5.38711e-11,2.6773800000000004e-13,6203717,-3.756926604093451,-0.025510663135522985,25.151508331298828,0.13374464213848114,0.3846237361431122,1.2536983489990234,0
1,45,24.693637499999994,-0.6725136111111111,2.65e+20,0.8,-999/-999,17176.0,9.71122e-15,3.69873e-15,4.28292e-15,3.26295e-15,-999.0,9.41844e-15,5.90822e-15,-999.0,1.43235e-14,8.98518e-15,-999.0,10331489,24.69330692636226,-0.6729084509243102,21.6153507232666,0.017155027016997337,0.9842429161071777,2.1640594005584717,0
2,46,24.657625,-0.6686836111111111,2.65e+20,0.8,-999/-999,17138.0,1.43976e-14,4.3836799999999995e-15,4.6164700000000014e-15,3.28712e-15,-999.0,1.69171e-14,7.65094e-15,-999.0,2.0583000000000002e-14,1.0342700000000001e-14,-999.0,10331779,24.656872080862872,-0.6694345618719704,23.783859252929688,0.10580439120531082,0.0037288973107934,2.79135799407959,0
3,47,24.819666666666652,-0.6210669444444444,2.67e+20,0.8,-999/-999,15367.0,1.3210400000000002e-14,4.24948e-15,9.99991e-15,5.00359e-15,-999.0,1.95108e-14,8.467529999999997e-15,-999.0,1.88707e-14,-1.66835e-11,4.91133e-14,10336933,24.819401008236195,-0.6201917230805376,25.077037811279297,0.15811824798583984,0.5768710970878601,1.5083609819412231,0
4,48,24.696104166666654,-0.4953258333333334,2.62e+20,0.8,-999/-999,15398.6,2.04713e-14,5.33676e-15,1.2027600000000003e-14,5.39408e-15,-999.0,1.7661500000000005e-14,7.92077e-15,-999.0,2.6867900000000003e-14,1.20496e-14,-999.0,10349649,24.696637723535567,-0.4958105178765246,24.01099967956543,0.15472514927387238,0.5010815858840942,3.559978723526001,0
5,49,24.863341666666656,-0.5856408333333334,2.67e+20,0.8,-999/-999,16277.1,1.39136e-14,4.52364e-15,8.19407e-15,-7.98105e-12,1.8085e-14,1.59856e-14,7.723520000000001e-15,-999.0,3.03827e-14,1.3332800000000001e-14,-999.0,10340717,24.863210784174072,-0.585496696363689,23.26041603088379,0.098042793571949,0.02226228639483452,4.57783317565918,0
6,50,24.580591666666667,-0.6724919444444444,2.63e+20,0.8,-999/-999,13686.3,2.92808e-14,6.29694e-15,1.87723e-14,6.7231800000000005e-15,-999.0,4.12916e-14,1.2160799999999998e-14,-999.0,1.04769e-14,7.33116e-15,-999.0,10331634,24.581048612590457,-0.6721935951504043,19.691669464111328,0.003074146108701825,0.9849674105644226,2.231462001800537,0
7,51,24.57530833333334,-0.6624166666666667,2.63e+20,0.8,-999/-999,13325.9,1.83296e-14,5.20182e-15,9.232899999999999e-15,4.97361e-15,-999.0,2.03235e-14,8.89575e-15,-999.0,2.06091e-14,1.11018e-14,-999.0,10332433,24.575558976454268,-0.6627113732940955,22.63390350341797,0.040650077164173126,0.7634484767913818,2.3222975730895996,0
8,52,24.86360416666668,-0.5181958333333334,2.66e+20,0.8,-999/-999,17319.7,9.87986e-15,3.97387e-15,4.9827300000000004e-15,3.79993e-15,-999.0,7.29755e-15,5.565270000000001e-15,-999.0,1.6650900000000006e-14,1.0412899999999997e-14,-999.0,10347561,24.863188285561222,-0.5182007240672521,23.7003116607666,0.11380545049905777,0.6704292297363281,4.379528522491455,0
9,54,24.899308333333327,-0.5684155555555556,2.67e+20,0.8,-999/-999,16398.1,4.43043e-14,7.95064e-15,2.88305e-14,8.58864e-15,-999.0,4.21959e-14,1.25702e-14,-999.0,4.58272e-14,1.61718e-14,-999.0,10342671,24.899645291058352,-0.5688669491500888,19.306169509887695,0.0022638060618191957,0.9855923056602478,2.2138402462005615,0
