,A,A,A,B,B,B,AB,AB,AB
,RA,DEC,OBJID,ALPHA_J2000,DELTA_J2000,OBJID,separation,duplicates,distances
0,14.102000000000006,-1.2773102777777776,0,,,,,,
1,14.079733333333335,-1.2494994444444445,1,,,,,,
2,14.095849999999983,-1.2276433333333334,2,,,,,,
3,14.068408333333338,-1.2348383333333337,3,,,,,,
4,14.070508333333324,-1.2212225,4,,,,,,
5,14.055662500000011,-1.2486969444444445,5,,,,,,
6,14.1077875,-1.356167777777778,6,,,,,,
7,14.012691666666653,-1.2393763888888891,7,,,,,,
8,-3.830945833333317,-0.20238111111111112,8,,,,,,
9,-3.8139416666666652,-0.1126613888888889,9,,,,,,
10,-3.9137458333333366,-0.11678111111111113,10,,,,,,
11,-3.7393208333334087,-0.19044694444444446,11,,,,,,
12,-3.740416666666704,-0.2004163888888889,12,,,,,,
13,-3.8903916666666873,-0.2936613888888889,13,,,,,,
14,-3.756920833333368,-0.02671805555555556,14,-3.756926604093451,-0.025510663135522985,6203717.0,4.346662358490478,6203632;6203774,6.094295653465397;6.892180193982786
15,-49.17572916666678,-0.7230919444444445,15,,,,,,
16,-49.187333333333406,-0.6771925,16,,,,,,
17,-49.221462500000094,-0.7079208333333333,17,,,,,,
18,-49.06894166666672,-0.7611241666666667,18,,,,,,
19,-49.22998333333339,-0.6346375,19,,,,,,
20,-49.07260416666674,-0.7935075,20,,,,,,
21,-49.09467916666677,-0.6208725,21,,,,,,
22,-49.05759583333339,-0.6513774999999999,22,,,,,,
23,-49.24366666666675,-0.6274247222222222,23,,,,,,
24,-49.27551250000005,-0.7915894444444445,24,,,,,,
25,-49.062720833333394,-0.6356986111111109,25,,,,,,
26,-49.228345833333435,-0.5934077777777779,26,,,,,,
27,-49.28757916666672,-0.6486072222222222,27,,,,,,
28,-49.17623333333341,-0.5748338888888889,28,,,,,,
29,-49.26237083333336,-0.8303869444444444,29,,,,,,
30,-49.25809583333336,-0.603245,30,,,,,,
31,-49.136904166666746,-0.5721227777777778,31,,,,,,
32,-49.17854166666672,-0.8726211111111112,32,,,,,,
33,-49.088708333333386,-0.8624216666666666,33,,,,,,
34,-49.16135000000008,-0.8865916666666667,34,,,,,,
35,-49.152729166666745,-0.8853269444444444,35,,,,,,
36,-49.33262500000001,-0.6915519444444445,36,,,,,,
37,-49.27715833333339,-0.5917827777777778,37,,,,,,
38,-49.335741666666706,-0.7607647222222222,38,,,,,,
39,-49.2573041666667,-0.5623794444444445,39,,,,,,
40,-49.22550416666672,-0.8962144444444444,40,,,,,,
41,-49.2985625,-0.8504149999999999,41,,,,,,
42,-49.31995833333339,-0.8574352777777777,42,,,,,,
