,A,A,A,B,B,B,AB,AB,AB
,OBJID,RA,DEC,OBJID,RA,DEC,snr,duplicates,snrs
0,0,0.9401333333333334,-19.159654166666662,0,0.9401333333333334,-19.159654166666662,3.7633333333333336,,
1,1,0.9386488888888889,-18.742491666666666,1,0.9386488888888889,-18.742491666666666,3.177857142857143,,
2,2,0.9397233333333334,-18.414649999999998,2,0.9397233333333334,-18.414649999999998,2.7864285714285715,,
3,3,0.9378938888888889,-18.522575,3,0.9378938888888889,-18.522575,3.621875,,
4,4,0.938033888888889,-18.3183375,4,0.938033888888889,-18.3183375,3.482666666666667,,
5,5,0.9370441666666667,-18.730454166666664,5,0.9370441666666667,-18.730454166666664,3.100714285714285,,
6,6,0.9405191666666667,-20.342516666666665,6,0.9405191666666667,-20.342516666666665,2.6,,
7,7,0.9341794444444445,-18.59064583333333,7,0.9341794444444445,-18.59064583333333,2.72,,
8,8,23.744603611111113,-3.0357166666666666,8,23.744603611111113,-3.0357166666666666,5.2075000000000005,,
9,9,23.745737222222225,-1.6899208333333333,9,23.745737222222225,-1.6899208333333333,3.7813186813186808,,
10,10,23.739083611111113,-1.7517166666666666,10,23.739083611111113,-1.7517166666666666,2.7554054054054054,,
11,11,23.750711944444443,-2.856704166666666,11,23.750711944444443,-2.856704166666666,2.733783783783784,,
12,12,23.75063888888889,-3.0062458333333333,12,23.75063888888889,-3.0062458333333333,3.4055555555555554,,
13,13,23.740640555555558,-4.404920833333333,13,23.740640555555558,-4.404920833333333,2.542253521126761,,
14,14,23.749538611111113,-0.4007708333333333,14,23.749538611111113,-0.4007708333333333,3.7520000000000002,,
15,15,20.721618055555552,-10.846379166666665,15,20.721618055555552,-10.846379166666665,46.75,,
16,16,20.72084444444444,-10.1578875,16,20.72084444444444,-10.1578875,12.917948717948718,,
17,17,20.718569166666665,-10.618812499999999,17,20.718569166666665,-10.618812499999999,3.3383333333333325,,
18,18,20.72873722222222,-11.416862499999999,18,20.72873722222222,-11.416862499999999,3.284375,,
19,19,20.71800111111111,-9.519562499999997,19,20.71800111111111,-9.519562499999997,6.152,,
20,20,20.728493055555553,-11.902612499999998,20,20.728493055555553,-11.902612499999998,5.113636363636363,,
21,21,20.727021388888886,-9.3130875,21,20.727021388888886,-9.3130875,4.021176470588236,,
22,22,20.72949361111111,-9.7706625,22,20.72949361111111,-9.7706625,3.396874999999999,,
23,23,20.717088888888888,-9.411370833333333,23,20.717088888888888,-9.411370833333333,3.4211111111111103,,
24,24,20.714965833333334,-11.873841666666666,24,20.714965833333334,-11.873841666666666,3.3841176470588237,,
25,25,20.729151944444443,-9.535479166666665,25,20.729151944444443,-9.535479166666665,3.437333333333334,,
26,26,20.718110277777775,-8.901116666666667,26,20.718110277777775,-8.901116666666667,5.6347826086956525,,
27,27,20.71416138888889,-9.729108333333333,27,20.71416138888889,-9.729108333333333,3.289999999999999,,
28,28,20.721584444444442,-8.622508333333332,28,20.721584444444442,-8.622508333333332,8.636363636363637,,
29,29,20.715841944444445,-12.455804166666665,29,20.715841944444445,-12.455804166666665,4.616666666666666,,
30,30,20.716126944444444,-9.048675,30,20.716126944444444,-9.048675,2.8806249999999998,,
31,31,20.724206388888888,-8.581841666666666,31,20.724206388888888,-8.581841666666666,8.513333333333334,,
32,32,20.721430555555553,-13.089316666666667,32,20.721430555555553,-13.089316666666667,3.3449999999999993,,
33,33,20.727419444444443,-12.936324999999998,33,20.727419444444443,-12.936324999999998,6.775,,
34,34,20.722576666666665,-13.298874999999999,34,20.722576666666665,-13.298874999999999,3.893684210526316,,
