OBJID;RA;DEC;NH;ENERGY_SLOPE;ENERGY_SLOPE_ERROR;EXPOSURE_TIME;nufnu_3keV(erg.s-1.cm-2);nufnu_error_3keV(erg.s-1.cm-2);nufnu_0.5keV(erg.s-1.cm-2);nufnu_error_0.5keV(erg.s-1.cm-2);upper_limit_0.5keV(erg.s-1.cm-2);nufnu_1.5keV(erg.s-1.cm-2);nufnu_error_1.5keV(erg.s-1.cm-2);upper_limit_1.5keV(erg.s-1.cm-2);nufnu_4.5keV(erg.s-1.cm-2);nufnu_error_4.5keV(erg.s-1.cm-2);upper_limit_4.5keV(erg.s-1.cm-2)
0;14.102000000000004;-1.2773102777777776;3.54e+20;0.8;-999/-999;4572.8;7.96961e-14;2.1177e-14;2.24733e-14;1.55274e-14;-999.0;1.08826e-13;4.0272699999999995e-14;-999.0;9.37007e-14;4.60196e-14;-999.0
1;14.079733333333337;-1.2494994444444445;3.52e+20;0.8;-999/-999;4684.2;6.277090000000001e-14;1.9752599999999997e-14;1.27727e-14;1.25221e-14;-999.0;7.07549e-14;3.43038e-14;-999.0;1.06643e-13;5.1703399999999997e-14;-999.0
2;14.095849999999984;-1.2276433333333334;3.51e+20;0.8;-999/-999;4649.6;5.50197e-14;1.9745599999999998e-14;2.23859e-14;1.7518900000000003e-14;-999.0;4.65563e-14;3.00594e-14;-999.0;9.35337e-14;5.2279599999999995e-14;-999.0
3;14.068408333333338;-1.2348383333333335;3.51e+20;0.8;-999/-999;4642.0;8.17327e-14;2.25664e-14;1.15106e-14;1.18772e-14;-999.0;9.56891e-14;3.9363499999999997e-14;-999.0;1.44238e-13;5.93351e-14;-999.0
4;14.070508333333322;-1.2212225;3.5e+20;0.8;-999/-999;4587.3;7.36584e-14;2.115e-14;5.61688e-14;2.41884e-14;-999.0;4.673e-14;2.64994e-14;-999.0;9.39095e-14;4.60162e-14;-999.0
5;14.055662500000011;-1.2486969444444445;3.51e+20;0.8;-999/-999;4462.9;6.12255e-14;1.9745599999999998e-14;5.6029399999999997e-14;2.58716e-14;-999.0;5.82222e-14;3.12153e-14;-999.0;2.9263e-14;2.7304900000000002e-14;-999.0
6;14.1077875;-1.3561677777777779;3.57e+20;0.8;-999/-999;4736.2;4.40918e-14;1.69584e-14;4.0463300000000004e-14;2.28254e-14;-999.0;4.1898900000000006e-14;-4.29374e-11;1.23047e-13;8.41558e-14;4.74725e-14;-999.0
7;14.012691666666655;-1.239376388888889;3.5e+20;0.8;-999/-999;4647.6;4.98576e-14;1.8330000000000002e-14;2.6059e-14;1.82387e-14;-999.0;9.03828e-14;4.0718800000000004e-14;-999.0;9.53659e-14;-7.00681e-11;1.80214e-13
8;-3.830945833333317;-0.20238111111111112;3.36e+20;0.8;-999/-999;4881.5;8.76985e-14;1.68408e-14;4.55693e-14;1.6759799999999998e-14;-999.0;9.56635e-14;2.77381e-14;-999.0;9.62615e-14;3.5403699999999996e-14;-999.0
9;-3.813941666666665;-0.1126613888888889;3.34e+20;0.8;-999/-999;5492.7;4.826e-14;1.27627e-14;2.9237e-14;1.3706e-14;-999.0;1.3656700000000001e-14;1.09317e-14;-999.0;1.03054e-13;3.74739e-14;-999.0
10;-3.913745833333337;-0.11678111111111111;3.34e+20;0.8;-999/-999;5133.8;2.8597e-14;1.03785e-14;3.11998e-14;1.45089e-14;-999.0;1.45638e-14;1.17924e-14;-999.0;2.1991400000000003e-14;1.78067e-14;-999.0
11;-3.7393208333334087;-0.19044694444444443;3.35e+20;0.8;-999/-999;5146.2;2.83827e-14;1.03822e-14;2.5815100000000003e-14;1.3055500000000001e-14;-999.0;1.8062099999999998e-14;1.2993799999999999e-14;-999.0;2.72709e-14;1.96186e-14;-999.0
12;-3.740416666666704;-0.2004163888888889;3.35e+20;0.8;-999/-999;5003.4;4.3002e-14;1.2627e-14;9.7725e-15;8.264919999999999e-15;-999.0;6.84338e-14;2.5716200000000002e-14;-999.0;4.13243e-14;2.49143e-14;-999.0
13;-3.8903916666666873;-0.2936613888888889;3.37e+20;0.8;-999/-999;5204.9;2.5340400000000003e-14;9.96769e-15;9.22027e-15;7.81258e-15;-999.0;2.57942e-14;1.5608700000000003e-14;-999.0;3.89367e-14;2.35616e-14;-999.0
14;-3.7569208333333677;-0.026718055555555557;3.32e+20;0.8;-999/-999;4826.6;5.2588e-14;1.4015999999999999e-14;7.64039e-14;2.36338e-14;-999.0;2.67966e-14;1.65778e-14;-999.0;8.09414e-14;-5.38711e-11;2.6773800000000004e-13
15;-49.17572916666677;-0.7230919444444445;5.31e+20;0.748;+0.04/-0.03;44772.7;8.702790000000001e-13;1.8615599999999997e-14;4.09573e-13;1.71625e-14;-999.0;9.04901e-13;2.86338e-14;-999.0;9.52536e-13;3.61931e-14;-999.0
16;-49.18733333333341;-0.6771925;5.3e+20;0.599;+0.13/-0.12;45446.9;8.671410000000001e-14;6.71268e-15;3.19829e-14;5.1139e-15;-999.0;7.8548e-14;9.23942e-15;-999.0;1.01294e-13;1.32195e-14;-999.0
17;-49.22146250000009;-0.7079208333333333;5.31e+20;0.8;-999/-999;40150.7;8.96302e-15;2.68488e-15;6.8834000000000006e-15;3.3724800000000003e-15;-999.0;7.32237e-15;3.88966e-15;-999.0;9.028289999999999e-15;5.31095e-15;-999.0
18;-49.06894166666672;-0.7611241666666667;5.32e+20;0.8;-999/-999;45644.2;7.84046e-15;2.3872e-15;4.22377e-15;2.4703000000000003e-15;-999.0;6.98681e-15;3.62137e-15;-999.0;1.03376e-14;5.35811e-15;-999.0
19;-49.229983333333394;-0.6346375;5.29e+20;0.8;-999/-999;42129.6;2.2927e-14;3.72675e-15;1.33035e-14;4.04429e-15;-999.0;2.1493900000000003e-14;5.71245e-15;-999.0;2.6916700000000004e-14;7.77316e-15;-999.0
20;-49.072604166666736;-0.7935075;5.33e+20;0.8;-999/-999;46241.9;1.6789500000000002e-14;3.28328e-15;2.2974400000000002e-14;5.47446e-15;-999.0;1.1075799999999999e-14;4.2745699999999996e-15;-999.0;2.34073e-15;2.3429000000000003e-15;-999.0
21;-49.094679166666765;-0.6208725;5.27e+20;0.8;-999/-999;46296.4;1.01843e-14;2.53266e-15;4.46145e-15;2.40402e-15;-999.0;9.71233e-15;3.90978e-15;-999.0;1.43774e-14;5.7877400000000004e-15;-999.0
22;-49.05759583333338;-0.6513775;5.28e+20;0.8;-999/-999;45083.8;8.09978e-15;2.38448e-15;4.7909e-15;2.5864999999999997e-15;-999.0;1.1917e-14;4.67763e-15;-999.0;2.9399e-15;2.76951e-15;-999.0
23;-49.24366666666674;-0.6274247222222222;5.29e+20;0.8;-999/-999;43326.5;9.179730000000001e-15;2.6832599999999997e-15;6.03555e-15;3.08836e-15;-999.0;7.49965e-15;3.83754e-15;-999.0;1.1099899999999999e-14;5.679760000000001e-15;-999.0
24;-49.27551250000005;-0.7915894444444445;5.35e+20;0.8;-999/-999;46291.2;8.590949999999999e-15;2.53861e-15;7.84234e-15;3.27576e-15;-999.0;1.6187699999999999e-15;1.7032499999999998e-15;-999.0;1.4363e-14;5.9994700000000004e-15;-999.0
25;-49.0627208333334;-0.635698611111111;5.28e+20;0.8;-999/-999;45596.3;7.68399e-15;2.23545e-15;6.995300000000001e-15;2.9392e-15;-999.0;5.79953e-15;2.9692e-15;-999.0;6.4369500000000006e-15;3.71883e-15;-999.0
26;-49.228345833333435;-0.5934077777777779;5.28e+20;0.8;-999/-999;43082.3;1.93143e-14;3.42769e-15;1.01549e-14;3.55937e-15;-999.0;1.57834e-14;4.86766e-15;-999.0;2.8035900000000003e-14;7.85957e-15;-999.0
27;-49.28757916666672;-0.6486072222222222;5.3e+20;0.8;-999/-999;46909.2;7.849150000000001e-15;2.3857600000000003e-15;5.63348e-15;2.91534e-15;-999.0;5.24901e-15;3.06351e-15;-999.0;1.03536e-14;5.3580100000000005e-15;-999.0
28;-49.176233333333414;-0.5748338888888889;5.27e+20;1.3980000000000001;+0.28/-0.21;43978.5;2.44057e-14;2.82592e-15;3.7099199999999994e-14;6.791540000000001e-15;-999.0;4.4279000000000005e-14;7.610460000000001e-15;-999.0;2.0473e-14;6.01935e-15;-999.0
29;-49.262370833333364;-0.8303869444444444;5.37e+20;0.8;-999/-999;46012.2;1.44863e-14;3.1378199999999998e-15;4.41038e-15;2.44715e-15;-999.0;1.22773e-14;4.42288e-15;-999.0;2.62277e-14;7.92024e-15;-999.0
30;-49.25809583333336;-0.603245;5.28e+20;0.8;-999/-999;44955.1;6.86879e-15;2.38448e-15;9.675850000000001e-16;1.27914e-15;-999.0;3.60982e-15;2.80658e-15;-999.0;1.78071e-14;7.269960000000001e-15;-999.0
31;-49.13690416666674;-0.5721227777777778;5.26e+20;0.8440000000000001;+0.23/-0.18;41125.3;3.6752099999999995e-14;4.3170000000000005e-15;2.7149200000000002e-14;5.2459699999999995e-15;-999.0;3.33306e-14;6.4403999999999995e-15;-999.0;3.86251e-14;8.63266e-15;-999.0
32;-49.17854166666672;-0.8726211111111112;5.37e+20;0.8;-999/-999;44469.7;8.99658e-15;2.6895600000000003e-15;1.61921e-14;4.8599899999999995e-15;-999.0;7.898269999999999e-15;-6.57762e-12;1.3239400000000001e-14;2.96143e-15;2.8792e-15;-999.0
33;-49.088708333333386;-0.8624216666666666;5.36e+20;0.8;-999/-999;41902.7;2.8337400000000003e-14;4.18264e-15;2.37211e-14;5.36791e-15;-999.0;1.60106e-14;4.9820599999999995e-15;-999.0;3.5516000000000004e-14;9.00748e-15;-999.0
34;-49.161350000000084;-0.8865916666666667;5.38e+20;0.8;-999/-999;45207.3;1.10571e-14;2.8397400000000003e-15;1.59253e-14;4.64736e-15;-999.0;6.245399999999999e-15;-6.94421e-12;1.62776e-14;1.0917399999999999e-14;5.36293e-15;-999.0
