,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,B,B,B,AB_MAG_AUTO,AB_MAG_AUTO,AB_MAG_AUTO,AB_MAG_AUTO,AB_MAG_AUTO
,OBJID_A,RA,DEC,NH,ENERGY_SLOPE,ENERGY_SLOPE_ERROR,EXPOSURE_TIME,nufnu_3keV(erg.s-1.cm-2),nufnu_error_3keV(erg.s-1.cm-2),nufnu_0.5keV(erg.s-1.cm-2),nufnu_error_0.5keV(erg.s-1.cm-2),upper_limit_0.5keV(erg.s-1.cm-2),nufnu_1.5keV(erg.s-1.cm-2),nufnu_error_1.5keV(erg.s-1.cm-2),upper_limit_1.5keV(erg.s-1.cm-2),nufnu_4.5keV(erg.s-1.cm-2),nufnu_error_4.5keV(erg.s-1.cm-2),upper_limit_4.5keV(erg.s-1.cm-2),pos_err,OBJID_B,ALPHA_J2000,DELTA_J2000,MAG_AUTO,Reliability,LR,duplicates,duplicates_LR,duplicates_R
0,14.0,-3.756920833333368,-0.02671805555555556,3.32e+20,0.8,-999/-999,4826.6,5.2588e-14,1.4015999999999999e-14,7.64039e-14,2.36338e-14,-999.0,2.67966e-14,1.65778e-14,-999.0,8.09414e-14,-5.38711e-11,2.6773800000000004e-13,5.0,6203632.0,-3.7553983414322265,-0.02745818634318224,19.368633270263672,0.7645067538509525,0.019682325386690618,6203717;6203774,0.0024608894214439452;0.003601914698632182,0.09558660098397;0.1399066451650775
1,45.0,24.693637499999994,-0.6725136111111111,2.65e+20,0.8,-999/-999,17176.0,9.71122e-15,3.69873e-15,4.28292e-15,3.26295e-15,-999.0,9.41844e-15,5.90822e-15,-999.0,1.43235e-14,8.98518e-15,-999.0,5.0,10331489.0,24.69330692636226,-0.6729084509243102,21.6153507232666,0.7201754919311597,0.009985347095246185,10331510,0.0038798110601227934,0.2798245080688403
2,46.0,24.657625,-0.6686836111111111,2.65e+20,0.8,-999/-999,17138.0,1.43976e-14,4.3836799999999995e-15,4.6164700000000014e-15,3.28712e-15,-999.0,1.69171e-14,7.65094e-15,-999.0,2.0583000000000002e-14,1.0342700000000001e-14,-999.0,5.0,10331970.0,24.65673978439039,-0.6680311523435102,21.149553298950195,0.44683450423192933,0.012284347678873795,10331779;10331716,0.00490188752174791;0.010305705467634313,0.17830270990683272;0.3748627858612379
3,47.0,24.819666666666652,-0.6210669444444444,2.67e+20,0.8,-999/-999,15367.0,1.3210400000000002e-14,4.24948e-15,9.99991e-15,5.00359e-15,-999.0,1.95108e-14,8.467529999999997e-15,-999.0,1.88707e-14,-1.66835e-11,4.91133e-14,5.0,10336874.0,24.821171347006537,-0.6211961572069753,21.617053985595703,0.39934087932069257,0.007688704234468393,10336933;10336804;10336854,0.0025365640202913682;0.0037324721520687115;0.0052957461071177795,0.131745698030017;0.19385954587316417;0.27505387677612614
4,48.0,24.696104166666654,-0.4953258333333334,2.62e+20,0.8,-999/-999,15398.6,2.04713e-14,5.33676e-15,1.2027600000000003e-14,5.39408e-15,-999.0,1.7661500000000005e-14,7.92077e-15,-999.0,2.6867900000000003e-14,1.20496e-14,-999.0,5.0,10349673.0,24.695655419695463,-0.49592927172844103,20.810714721679688,0.5980167086105854,0.016152989472415943,10349649;10349580;10349671,0.00479203354230448;0.0028684722636638463;0.0031974380949412475,0.177410883069921;0.10619671019945533;0.11837569812003823
5,49.0,24.863341666666656,-0.5856408333333334,2.67e+20,0.8,-999/-999,16277.1,1.39136e-14,4.52364e-15,8.19407e-15,-7.98105e-12,1.8085e-14,1.59856e-14,7.723520000000001e-15,-999.0,3.03827e-14,1.3332800000000001e-14,-999.0,5.0,10340717.0,24.863210784174072,-0.585496696363689,23.26041603088379,0.6310154461318253,0.007299007718728784,10340607,0.004268074772630627,0.36898455386817475
6,50.0,24.580591666666667,-0.6724919444444444,2.63e+20,0.8,-999/-999,13686.3,2.92808e-14,6.29694e-15,1.87723e-14,6.7231800000000005e-15,-999.0,4.12916e-14,1.2160799999999998e-14,-999.0,1.04769e-14,7.33116e-15,-999.0,5.0,10331634.0,24.58104861259045,-0.6721935951504043,19.691669464111328,1.0,0.024723735251639043,,,
7,51.0,24.57530833333334,-0.6624166666666667,2.63e+20,0.8,-999/-999,13325.9,1.83296e-14,5.20182e-15,9.232899999999999e-15,4.97361e-15,-999.0,2.03235e-14,8.89575e-15,-999.0,2.06091e-14,1.11018e-14,-999.0,5.0,10332433.0,24.575558976454268,-0.6627113732940955,22.63390350341797,0.7075751223596721,0.007884247968491085,10332663,0.0032583822899020175,0.2924248776403278
8,52.0,24.86360416666668,-0.5181958333333334,2.66e+20,0.8,-999/-999,17319.7,9.87986e-15,3.97387e-15,4.9827300000000004e-15,3.79993e-15,-999.0,7.29755e-15,5.565270000000001e-15,-999.0,1.6650900000000006e-14,1.0412899999999997e-14,-999.0,5.0,10347523.0,24.863112139544143,-0.5188316726766771,22.349245071411133,0.5657185299344644,0.007371096067300307,10347561,0.005658521449655007,0.4342814700655355
9,54.0,24.899308333333327,-0.5684155555555556,2.67e+20,0.8,-999/-999,16398.1,4.43043e-14,7.95064e-15,2.88305e-14,8.58864e-15,-999.0,4.21959e-14,1.25702e-14,-999.0,4.58272e-14,1.61718e-14,-999.0,5.0,10342671.0,24.89964529105835,-0.5688669491500888,19.30616950988769,0.8338146952561049,0.023673542783358092,10342481,0.004718308449351118,0.16618530474389526
10,56.0,24.93250833333332,-0.5957519444444445,2.68e+20,0.8,-999/-999,7297.5,8.10438e-14,1.1518899999999999e-14,4.77252e-14,1.2025799999999999e-14,-999.0,1.04743e-13,2.13773e-14,-999.0,5.30566e-14,1.89245e-14,-999.0,5.0,10339535.0,24.93229957195798,-0.5973184406730213,20.095985412597656,0.687671132071989,0.020540765208711467,10339617;10339681,0.006190915197095651;0.0031383610292914695,0.20726168761925648;0.10506718030875443
11,57.0,31.174004166666666,0.8323011111111109,2.21e+20,0.8,-999/-999,8066.5,3.05458e-14,8.091599999999998e-15,1.44191e-14,7.25625e-15,-999.0,5.80337e-14,1.80866e-14,-999.0,0.0,-3.22657e-11,7.342410000000001e-14,5.0,13079514.0,31.17356559885837,0.8327340507760159,19.480323791503906,0.6189277193601842,0.02933187967733179,13079012;13079035;13079158,0.003984937045003821;0.004526095924835783;0.009548533493992852,0.08408557597364605;0.09550449064909233;0.20148221401707742
12,58.0,31.26727916666667,0.8699991666666667,2.26e+20,0.8,-999/-999,8128.8,1.6158e-14,6.3497e-15,5.6113e-15,4.97141e-15,-999.0,1.6874e-14,1.05066e-14,-999.0,2.57654e-14,1.60428e-14,-999.0,5.0,13083027.0,31.26650726299557,0.8702689971955458,19.685623168945312,0.8679453601466287,0.024267240440705537,13082933,0.003692169857433374,0.13205463985337126
13,59.0,31.19017916666667,0.6675958333333333,2.21e+20,0.8,-999/-999,8368.2,2.6985500000000003e-14,8.091599999999998e-15,1.75196e-14,8.575350000000002e-15,-999.0,8.812520000000001e-15,7.55107e-15,-999.0,5.3883800000000016e-14,2.2737799999999998e-14,-999.0,5.0,13061040.0,31.190371336667962,0.667473124698051,17.911914825439453,0.6665735805751868,0.03114410277625634,13060704;13060965,0.007449317143660962;0.00812925809168657,0.15943686151317948;0.17398955791163379
14,60.0,31.306570833333325,0.8727577777777779,2.26e+20,0.8,-999/-999,8170.4,2.12512e-14,7.2954e-15,9.21856e-15,6.4176e-15,-999.0,6.93505e-15,-1.90212e-11,9.173869999999999e-14,6.352530000000002e-14,2.53832e-14,-999.0,5.0,13083527.0,31.307017996559505,0.8736040947064824,20.304515838623047,0.8362519837990059,0.02336214992036904,13083107,0.004574584907137399,0.16374801620099402
15,61.0,31.073108333333327,0.80852,2.21e+20,0.219,+0.22/-0.18,4042.5,1.94648e-13,2.60117e-14,8.87674e-14,1.69836e-14,-999.0,3.97376e-14,1.5641399999999997e-14,-999.0,2.655070000000001e-13,5.07987e-14,-999.0,5.0,13076696.0,31.07272014428373,0.8086596647936802,20.318708419799805,0.3509957867924486,0.025335768563701157,13076823;13076731;13076744;13076838;13077138,0.02382804177680613;0.005992468492565176;0.0032249443019560318;0.004905452202254253;0.008895867921228632,0.3301080940230858;0.08301825097938173;0.04467762088135851;0.06795898261281931;0.1232412647109061
16,73.0,-10.196008333333397,0.3477027777777777,3.88e+20,0.8,-999/-999,21016.8,2.8778399999999996e-14,4.71075e-15,1.91112e-14,5.22179e-15,-999.0,3.10512e-14,7.7565e-15,-999.0,2.33163e-14,8.22009e-15,-999.0,5.0,7148651.0,-10.19651987223881,0.346327284042368,19.820117950439453,0.6578276272587145,0.015327498715880473,7148742;7148730,0.003937944169098883;0.004034731933997017,0.1690092112910544;0.17316316145023117
17,76.0,-10.231050000000039,0.3931333333333333,3.9e+20,0.8,-999/-999,21170.9,2.74538e-14,4.71372e-15,1.57262e-14,4.81756e-15,-999.0,3.72093e-14,8.606669999999999e-15,-999.0,1.59655e-14,6.98424e-15,-999.0,5.0,7153127.0,-10.230986225176368,0.39291404825858506,20.97632598876953,0.41887225973755515,0.015048220713857792,7152984;7152992;7153066;7153085,0.00585119561822959;0.005103684941218753;0.006268708816225334;0.003653750422129698,0.16286998824500834;0.14206277838204182;0.17449160783978745;0.10170336579560722
18,82.0,-10.188045833333376,0.12102222222222225,3.8e+20,0.26,+0.13/-0.11,16305.1,1.8723499999999998e-13,1.45771e-14,2.9738799999999996e-14,6.27407e-15,-999.0,1.4383599999999996e-13,1.73925e-14,-999.0,2.50973e-13,2.89688e-14,-999.0,5.0,7129206.0,-10.187848218632837,0.12072047726290125,18.52275276184082,1.0,0.04666533878940442,,,
19,83.0,-10.082633333333376,0.16908944444444446,3.86e+20,0.883,+0.09/-0.08,12323.3,2.75396e-13,1.46487e-14,1.9929400000000001e-13,1.73826e-14,-999.0,2.811780000000001e-13,2.38353e-14,-999.0,2.8577e-13,2.9437e-14,-999.0,5.0,7133221.0,-10.082657748177835,0.16902281909630895,19.252365112304688,0.7879112162071352,0.025132759178283486,7133067,0.006765199197367177,0.2120887837928649
20,84.0,-4.415945833333353,0.26130722222222225,3.38e+20,0.8,-999/-999,9190.5,3.29191e-14,8.4264e-15,2.9965699999999995e-14,1.08741e-14,-999.0,3.489750000000001e-14,1.38382e-14,-999.0,1.05325e-14,9.42157e-15,-999.0,5.0,6422765.0,-4.416116749853927,0.2616051444979694,20.10804748535156,0.9124578656895294,0.028769091462798047,6422467,0.0027601358523259454,0.08754213431047068
