RA;DEC;NH;ENERGY_SLOPE;ENERGY_SLOPE_ERROR;nufnu_5keV(erg.s-1.cm-2);nufnu_error_5keV(erg.s-1.cm-2);nufnu_0.5keV(erg.s-1.cm-2);nufnu_error_0.5keV(erg.s-1.cm-2);upper_limit_0.5keV(erg.s-1.cm-2);nufnu_1.5keV(erg.s-1.cm-2);nufnu_error_1.5keV(erg.s-1.cm-2);upper_limit_1.5keV(erg.s-1.cm-2);nufnu_4.5keV(erg.s-1.cm-2);nufnu_error_4.5keV(erg.s-1.cm-2);upper_limit_4.5keV(erg.s-1.cm-2)
01:26:58.792;-01:14:17.856;3.67E+20;-0.020;+0.40/-0.27;2.43926e-13;4.96483e-14;3.61121e-14;1.39274e-14;-9.990E+02;4.83625e-14;2.15075e-14;-9.990E+02;2.18113e-13;6.13238e-14;-9.990E+02
01:26:42.217;-01:14:06.962;3.71E+20;1.768;+0.46/-0.28;4.89528e-14;6.8754e-15;2.44042e-13;4.65734e-14;-9.990E+02;1.61773e-13;3.81638e-14;-9.990E+02;5.19485e-14;2.43538e-14;-9.990E+02
01:26:32.964;-01:12:19.438;3.73E+20;0.8;-999/-999;4.16794e-14;1.43179e-14;4.63593e-14;1.96725e-14;-9.990E+02;3.16812e-14;1.90123e-14;-9.990E+02;1.32903e-14;-4.9055e-11;5.941e-11
01:26:27.323;-01:18:13.705;3.78E+20;0.8;-999/-999;4.03614e-14;1.4184e-14;6.74823e-14;2.3715e-14;-9.990E+02;3.06514e-14;-3.22777e-11;7.90159e-11;1.28542e-14;-4.8519e-11;1.18775e-10
01:27:22.793;-01:15:59.595;3.62E+20;0.8;-999/-999;3.75018e-14;1.37966e-14;3.11379e-14;1.66103e-14;-9.990E+02;4.28551e-14;2.28608e-14;-9.990E+02;1.19985e-14;-4.74274e-11;8.90714e-11
01:25:44.247;-01:22:43.589;4.16E+20;0.8;-999/-999;4.84303e-14;1.10069e-14;5.87886e-14;1.56634e-14;-9.990E+02;3.12802e-14;1.33754e-14;-9.990E+02;0;-3.72194e-11;2.54861e-11
01:26:00.398;-01:20:38.631;3.92E+20;1.465;+0.32/-0.23;5.78313e-14;7.04544e-15;2.14482e-13;3.30759e-14;-9.990E+02;4.59002e-14;1.55365e-14;-9.990E+02;5.9671e-14;2.01977e-14;-9.990E+02
01:25:35.964;-01:25:45.307;4.19E+20;1.019;+0.43/-0.28;5.32012e-14;9.82139e-15;5.90234e-14;1.65265e-14;-9.990E+02;4.89651e-14;1.68315e-14;-9.990E+02;5.26506e-14;2.06896e-14;-9.990E+02
01:26:05.435;-01:26:52.958;4.12E+20;0.8;-999/-999;2.49814e-14;8.44396e-15;1.81574e-14;9.27734e-15;-9.990E+02;1.61446e-14;1.02043e-14;-9.990E+02;2.41835e-14;1.52854e-14;-9.990E+02
01:26:11.419;-01:11:55.131;3.83E+20;0.8;-999/-999;4.49873e-14;1.19966e-14;5.27902e-14;1.70087e-14;-9.990E+02;3.07097e-14;1.46993e-14;-9.990E+02;4.39515e-14;-4.09725e-11;3.56836e-11
01:26:58.795;-01:14:17.195;3.67E+20;-0.020;+0.17/-0.14;5.34674e-13;5.34674e-14;7.91795e-14;1.50004e-14;-9.990E+02;1.06004e-13;2.31625e-14;-9.990E+02;4.7803e-13;6.60676e-14;-9.990E+02
01:26:42.199;-01:14:07.136;3.71E+20;1.820;+0.18/-0.14;9.83007e-14;6.2592e-15;5.69335e-13;4.693e-14;-9.990E+02;3.31711e-13;3.62454e-14;-9.990E+02;1.0504e-13;2.27612e-14;-9.990E+02
01:26:32.618;-01:12:21.290;3.73E+20;0.8;-999/-999;4.56758e-14;1.02271e-14;3.81165e-14;1.21148e-14;-9.990E+02;5.20963e-14;1.65582e-14;-9.990E+02;1.36195e-14;-3.50362e-11;5.9302e-11
01:27:22.695;-01:15:59.333;3.62E+20;1.131;+0.35/-0.24;5.60677e-14;8.93392e-15;6.3445e-14;1.55279e-14;-9.990E+02;7.94832e-14;1.94532e-14;-9.990E+02;5.599e-14;1.94396e-14;-9.990E+02
01:26:00.389;-01:20:38.317;3.92E+20;1.349;+0.19/-0.14;1.76119e-13;1.48953e-14;5.01834e-13;5.12467e-14;-9.990E+02;1.34009e-13;2.80906e-14;-9.990E+02;1.79152e-13;3.75533e-14;-9.990E+02
01:25:44.192;-01:22:44.154;4.16E+20;0.8;-999/-999;2.14076e-13;3.50944e-14;2.42527e-13;4.8462e-14;-9.990E+02;1.61341e-13;4.62675e-14;-9.990E+02;1.14418e-13;-1.18683e-10;5.94496e-11
