OBJID;RA;DEC;countrates_0.3-10keV(ph.s-1);countrates_error_0.3-10keV(ph.s-1);exposure_time(s);countrates_0.3-1keV(ph.s-1);countrates_error_0.3-1keV(ph.s-1);upper_limit_0.3-1keV(ph.s-1);countrates_1-2keV(ph.s-1);countrates_error_1-2keV(ph.s-1);upper_limit_1-2keV(ph.s-1);countrates_2-10keV(ph.s-1);countrates_error_2-10keV(ph.s-1);upper_limit_2-10keV(ph.s-1)
0;14.102000000000004;-1.2773102777777776;0.005645000000000001;0.0015;4572.8;0.0008684;0.0006;-999.0;0.0030399999999999997;0.001125;-999.0;0.001737;0.0008531000000000001;-999.0
1;14.079733333333337;-1.2494994444444445;0.004449;0.0014;4684.2;0.0004943;0.0004846;-999.0;0.001977;0.0009585;-999.0;0.001977;0.0009585;-999.0
2;14.095849999999984;-1.2276433333333334;0.003901;0.0014;4649.6;0.000867;0.0006785000000000001;-999.0;0.001301;0.00084;-999.0;0.001734;0.0009692;-999.0
3;14.068408333333338;-1.2348383333333335;0.005795000000000001;0.0016;4642.0;0.0004458;0.00045999999999999996;-999.0;0.0026739999999999997;0.0011;-999.0;0.0026739999999999997;0.0011;-999.0
4;14.070508333333322;-1.2212225;0.005224;0.0015;4587.3;0.002177;0.0009375;-999.0;0.001306;0.0007406000000000001;-999.0;0.001741;0.0008531000000000001;-999.0
5;14.055662500000011;-1.2486969444444445;0.004340999999999999;0.0014;4462.9;0.00217;0.0010019999999999999;-999.0;0.001627;0.0008722999999999999;-999.0;0.0005425;0.0005062;-999.0
6;14.1077875;-1.3561677777777779;0.00312;0.0012;4736.2;0.00156;0.00088;-999.0;0.00117;-1.199;0.003436;0.00156;0.00088;-999.0
7;14.012691666666655;-1.239376388888889;0.003536;0.0013;4647.6;0.00101;0.0007069;-999.0;0.002526;0.0011380000000000001;-999.0;0.001768;-1.2990000000000002;0.003341
8;-3.830945833333317;-0.20238111111111112;0.006249;0.0012;4881.5;0.0017850000000000001;0.0006565000000000001;-999.0;0.0026780000000000003;0.0007765;-999.0;0.0017850000000000001;0.0006565000000000001;-999.0
9;-3.813941666666665;-0.1126613888888889;0.0034409999999999996;0.00091;5492.7;0.001147;0.0005377000000000001;-999.0;0.00038239999999999997;0.0003061;-999.0;0.001911;0.0006949;-999.0
10;-3.913745833333337;-0.11678111111111111;0.002039;0.00074;5133.8;0.001224;0.0005692000000000001;-999.0;0.00040780000000000005;0.0003302;-999.0;0.00040780000000000005;0.0003302;-999.0
11;-3.7393208333334087;-0.19044694444444443;0.002023;0.00074;5146.2;0.0010119999999999999;0.0005118000000000001;-999.0;0.0005057;0.0003638;-999.0;0.0005057;0.0003638;-999.0
12;-3.740416666666704;-0.2004163888888889;0.003065;0.0009;5003.4;0.00038310000000000004;0.000324;-999.0;0.001916;0.00072;-999.0;0.0007662999999999999;0.000462;-999.0
13;-3.8903916666666873;-0.2936613888888889;0.001805;0.0007099999999999999;5204.9;0.0003609;0.0003058;-999.0;0.000722;0.0004369;-999.0;0.000722;0.0004369;-999.0
14;-3.7569208333333677;-0.026718055555555557;0.003752;0.001;4826.6;0.003002;0.0009285999999999999;-999.0;0.0007505;0.00046429999999999996;-999.0;0.001501;-0.999;0.004965
15;-49.17572916666677;-0.7230919444444445;0.0561;0.0012;44772.7;0.01408;0.00059;-999.0;0.02465;0.00078;-999.0;0.01737;0.00066;-999.0
16;-49.18733333333341;-0.6771925;0.005038;0.00039;45446.9;0.001142;0.0001826;-999.0;0.002116;0.0002489;-999.0;0.0017800000000000001;0.0002323;-999.0
17;-49.22146250000009;-0.7079208333333333;0.0006008999999999999;0.00018;40150.7;0.00023369999999999996;0.0001145;-999.0;0.00020030000000000002;0.00010640000000000001;-999.0;0.0001669;9.818e-05;-999.0
18;-49.06894166666672;-0.7611241666666667;0.0005255;0.00016;45644.2;0.00014330000000000001;8.381e-05;-999.0;0.0001911;9.905e-05;-999.0;0.0001911;9.905e-05;-999.0
19;-49.229983333333394;-0.6346375;0.001538;0.00025;42129.6;0.0004523;0.0001375;-999.0;0.0005881;0.0001563;-999.0;0.0004976;0.0001437;-999.0
20;-49.072604166666736;-0.7935075;0.001125;0.00022;46241.9;0.0007789;0.00018559999999999998;-999.0;0.0003029;0.00011690000000000001;-999.0;4.327e-05;4.331e-05;-999.0
21;-49.094679166666765;-0.6208725;0.0006836;0.00016999999999999999;46296.4;0.0001519;8.185e-05;-999.0;0.0002658;0.00010700000000000001;-999.0;0.0002658;0.00010700000000000001;-999.0
22;-49.05759583333338;-0.6513775;0.0005434999999999999;0.00016;45083.8;0.00016299999999999998;8.8e-05;-999.0;0.0003261;0.000128;-999.0;5.435e-05;5.12e-05;-999.0
23;-49.24366666666674;-0.6274247222222222;0.0006157999999999999;0.00018;43326.5;0.0002052;0.000105;-999.0;0.0002052;0.000105;-999.0;0.0002052;0.000105;-999.0
24;-49.27551250000005;-0.7915894444444445;0.0005752999999999999;0.00016999999999999999;46291.2;0.0002655;0.0001109;-999.0;4.426e-05;4.657e-05;-999.0;0.0002655;0.0001109;-999.0
25;-49.0627208333334;-0.635698611111111;0.0005156000000000001;0.00015;45596.3;0.00023799999999999998;0.0001;-999.0;0.0001587;8.125e-05;-999.0;0.00011899999999999999;6.875e-05;-999.0
26;-49.228345833333435;-0.5934077777777779;0.001296;0.00022999999999999998;43082.3;0.0003455;0.00012109999999999999;-999.0;0.0004319;0.00013319999999999999;-999.0;0.0005183;0.0001453;-999.0
27;-49.28757916666672;-0.6486072222222222;0.0005263999999999999;0.00016;46909.2;0.00019140000000000002;9.905e-05;-999.0;0.0001436;8.381e-05;-999.0;0.00019140000000000002;9.905e-05;-999.0
28;-49.176233333333414;-0.5748338888888889;0.00285;0.00033;43978.5;0.001116;0.0002043;-999.0;0.00128;0.00022;-999.0;0.0004544;0.0001336;-999.0
29;-49.262370833333364;-0.8303869444444444;0.0009695;0.00021;46012.2;0.0001491;8.273e-05;-999.0;0.0003356;0.00012090000000000001;-999.0;0.00048479999999999997;0.0001464;-999.0
30;-49.25809583333336;-0.603245;0.0004609;0.00016;44955.1;3.292e-05;4.352e-05;-999.0;9.878e-05;7.68e-05;-999.0;0.0003292;0.00013440000000000001;-999.0
31;-49.13690416666674;-0.5721227777777778;0.002554;0.0003;41125.3;0.0009155;0.00017690000000000002;-999.0;0.0009155;0.00017690000000000002;-999.0;0.0007226;0.0001615;-999.0
32;-49.17854166666672;-0.8726211111111112;0.0006020999999999999;0.00018;44469.7;0.0005474;0.0001643;-999.0;0.00021590000000000002;-0.1798;0.00036189999999999996;5.474e-05;5.322e-05;-999.0
33;-49.088708333333386;-0.8624216666666666;0.0018969999999999998;0.00028;41902.7;0.0008025;0.0001816;-999.0;0.00043769999999999996;0.00013619999999999998;-999.0;0.0006565000000000001;0.0001665;-999.0
34;-49.161350000000084;-0.8865916666666667;0.0007398;0.00018999999999999998;45207.3;0.000538;0.000157;-999.0;0.00017069999999999998;-0.1898;0.00044489999999999997;0.00020180000000000003;9.913e-05;-999.0
35;-49.152729166666745;-0.8853269444444444;0.0005567;0.00018;45631.4;0.0004871;0.0001705;-999.0;0.00012849999999999998;-0.1798;0.0004599;6.959e-05;6.347e-05;-999.0
36;-49.33262500000001;-0.6915519444444445;0.001175;0.00022999999999999998;46682.6;0.0003917;0.0001314;-999.0;0.00047880000000000004;0.0001446;-999.0;0.0003047;0.0001183;-999.0
37;-49.277158333333375;-0.5917827777777778;0.001125;0.00022;46664.6;0.0004583;0.0001383;-999.0;0.0005;0.0001446;-999.0;0.00016669999999999999;8.171e-05;-999.0
38;-49.335741666666706;-0.7607647222222222;0.0005612999999999999;0.00018;46693.9;0.000259;0.00012749999999999998;-999.0;4.318e-05;5.025e-05;-999.0;0.000259;0.00012749999999999998;-999.0
39;-49.2573041666667;-0.5623794444444445;0.0019579999999999997;0.00029;40337.2;0.00044510000000000003;0.00014110000000000001;-999.0;0.0005341;0.00014890000000000001;-999.0;0.0009791000000000001;0.00020380000000000002;-999.0
40;-49.225504166666724;-0.8962144444444444;0.001255;0.00025;42965.9;0.00025110000000000003;0.0001103;-999.0;0.0003766;0.00013240000000000002;-999.0;0.0006277;0.00017649999999999998;-999.0
41;-49.2985625;-0.850415;0.0006056;0.00018999999999999998;42726.8;0.0002423;0.00011870000000000001;-999.0;0.0001817;0.00010290000000000001;-999.0;0.0001817;0.00010290000000000001;-999.0
42;-49.319958333333375;-0.8574352777777777;0.0008997;0.00022999999999999998;40958.2;0.0007994;0.00021719999999999997;-999.0;4.998e-05;5.367e-05;-999.0;4.998e-05;5.367e-05;-999.0
43;-49.32229166666673;-0.8665630555555556;0.0008631;0.00023999999999999998;39296.1;0.0005754;0.0001964;-999.0;0.0001439;9.709e-05;-999.0;0.0001439;9.709e-05;-999.0
44;-49.385245833333386;-0.7422327777777777;0.00418;0.00045;38587.0;0.0008222999999999999;0.0002;-999.0;0.00185;0.0003;-999.0;0.001508;0.000275;-999.0
45;24.693637499999994;-0.6725136111111111;0.0007088999999999999;0.00027;17176.0;0.00017719999999999997;0.000135;-999.0;0.00026589999999999996;0.00016680000000000002;-999.0;0.00026589999999999996;0.00016680000000000002;-999.0
46;24.657624999999996;-0.6686836111111111;0.001051;0.00032;17138.0;0.00019099999999999998;0.000136;-999.0;0.00047759999999999995;0.00021600000000000002;-999.0;0.0003821;0.000192;-999.0
47;24.81966666666665;-0.6210669444444444;0.0009637000000000001;0.00031;15367.0;0.0004131;0.00020669999999999998;-999.0;0.0005507000000000001;0.000239;-999.0;0.0003503;-0.3097;0.0009117000000000001
48;24.696104166666657;-0.49532583333333335;0.0014960000000000002;0.00039;15398.6;0.0004988000000000001;0.00022370000000000002;-999.0;0.0004988000000000001;0.00022370000000000002;-999.0;0.0004988000000000001;0.00022370000000000002;-999.0
49;24.863341666666656;-0.5856408333333334;0.001015;0.00033;16277.1;0.0003385;-0.3297;0.0007471;0.00045119999999999996;0.000218;-999.0;0.0005639999999999999;0.0002475;-999.0
50;24.580591666666663;-0.6724919444444444;0.002139;0.00045999999999999996;13686.3;0.0007779;0.0002786;-999.0;0.001166;0.0003434;-999.0;0.0001945;0.0001361;-999.0
51;24.57530833333334;-0.6624166666666667;0.0013390000000000001;0.00037999999999999997;13325.9;0.00038260000000000003;0.0002061;-999.0;0.0005739;0.0002512;-999.0;0.00038260000000000003;0.0002061;-999.0
52;24.863604166666676;-0.5181958333333334;0.000721;0.00029;17319.7;0.000206;0.0001571;-999.0;0.000206;0.0001571;-999.0;0.00030910000000000003;0.0001933;-999.0
53;24.810629166666672;-0.7864055555555556;0.005278;0.00075;7121.0;0.0006596;0.00025380000000000004;-999.0;0.0013189999999999999;0.0003635;-999.0;0.0032990000000000003;0.0005712000000000001;-999.0
54;24.899308333333323;-0.5684155555555556;0.003232;0.00058;16398.1;0.001191;0.0003548;-999.0;0.001191;0.0003548;-999.0;0.0008506999999999999;0.0003002;-999.0
55;24.728295833333334;-0.4387861111111111;0.01319;0.0011;14973.5;0.0050479999999999995;0.00066;-999.0;0.004396;0.0006129;-999.0;0.003746;0.0005657;-999.0
56;24.932508333333317;-0.5957519444444445;0.00591;0.00084;7297.5;0.00197;0.0004963999999999999;-999.0;0.002956;0.0006033;-999.0;0.0009849;0.0003513;-999.0
57;31.174004166666663;0.832301111111111;0.0022649999999999997;0.0006;8066.5;0.0006176;0.0003108;-999.0;0.0016469999999999998;0.0005133;-999.0;0.0;-0.5994;0.001364
58;31.26727916666667;0.8699991666666667;0.001196;0.00047000000000000004;8128.8;0.00023940000000000002;0.0002121;-999.0;0.00047860000000000003;0.000298;-999.0;0.00047860000000000003;0.000298;-999.0
59;31.190179166666667;0.6675958333333333;0.002001;0.0006;8368.2;0.0007503999999999999;0.0003673;-999.0;0.0002501;0.00021430000000000003;-999.0;0.001001;0.0004224;-999.0
60;31.306570833333325;0.8727577777777779;0.001573;0.00054;8170.4;0.0003933;0.0002738;-999.0;0.00019669999999999998;-0.5395;0.002602;0.00118;0.00047149999999999997;-999.0
61;31.073108333333323;0.80852;0.009728;0.0013;4042.5;0.004324000000000001;0.0008273;-999.0;0.0010810000000000001;0.0004255;-999.0;0.004324000000000001;0.0008273;-999.0
62;-51.04182500000002;-0.43094166666666667;0.002356;0.00079;5364.8;0.0002618;0.0002568;-999.0;0.0005235;0.0003621;-999.0;0.0015710000000000001;0.0006320000000000001;-999.0
63;-51.01725833333336;-0.3938183333333334;0.02255;0.0023;4599.9;0.0003822;0.0003067;-999.0;0.003059;0.0008433;-999.0;0.019119999999999998;0.002147;-999.0
64;-51.02720000000005;-0.5404038888888889;0.00147;0.00064;5518.6;0.0004900999999999999;0.00037160000000000003;-999.0;0.000245;0.0002615;-999.0;0.000735;0.0004542;-999.0
65;-50.829441666666696;-0.38946861111111114;0.0019100000000000002;0.0008;5518.6;0.0019100000000000002;0.0008;-999.0;0.0003184;-0.7992;0.003157;0.0009550000000000001;-0.7992;0.003157
66;-10.263595833333397;0.24409027777777778;2.641;0.0091;20968.4;1.091;0.005871;-999.0;0.9114;0.005382;-999.0;0.6392;0.004501;-999.0
67;-10.206308333333368;0.3162986111111111;0.0020670000000000003;0.00033;21470.0;0.0006077999999999999;0.00017719999999999997;-999.0;0.0003647;0.0001406;-999.0;0.001094;0.0002383;-999.0
68;-10.361666666666736;0.2792788888888889;0.001267;0.00027;21356.2;0.0002816;0.0001283;-999.0;0.00042249999999999997;0.00015519999999999998;-999.0;0.0005632;0.00018219999999999998;-999.0
69;-10.358254166666711;0.2323975;0.001027;0.00025;22111.4;0.00045670000000000004;0.00016669999999999999;-999.0;0.00045670000000000004;0.00016669999999999999;-999.0;0.0001141;8.333e-05;-999.0
70;-10.335841666666681;0.34386055555555556;0.001429;0.00028;21857.7;0.0003174;0.000133;-999.0;0.0004762;0.000161;-999.0;0.0006349;0.000182;-999.0
71;-10.180237500000032;0.3009280555555555;0.0031420000000000003;0.00039;21131.0;0.001158;0.000234;-999.0;0.0006615;0.00017549999999999998;-999.0;0.001323;0.00025350000000000004;-999.0
72;-10.264437500000042;0.3747383333333333;0.00139;0.00028;22151.0;0.0001986;0.00010859999999999998;-999.0;0.00029780000000000003;0.0001314;-999.0;0.0008936;0.0002229;-999.0
73;-10.196008333333396;0.34770277777777775;0.002016;0.00033;21016.8;0.0007199;0.00019669999999999998;-999.0;0.0008638999999999999;0.0002158;-999.0;0.00043200000000000004;0.00015230000000000002;-999.0
74;-10.161458333333371;0.24862194444444444;0.00105;0.00026000000000000003;21376.3;0.0006998999999999999;0.0002093;-999.0;0.00045010000000000004;-0.2597;0.0007712000000000001;0.00035;0.00015219999999999999;-999.0
75;-10.378916666666726;0.2137716666666667;0.001018;0.00025;21980.9;0.00043650000000000004;0.0001643;-999.0;0.0001455;9.286e-05;-999.0;0.00043650000000000004;0.0001643;-999.0
76;-10.231050000000039;0.39313333333333333;0.0019219999999999999;0.00033;21170.9;0.0005915;0.00018119999999999999;-999.0;0.001035;0.00023940000000000002;-999.0;0.00029580000000000003;0.0001294;-999.0
77;-10.409416666666687;0.23264444444444446;0.002182;0.00033999999999999997;20792.1;0.0006232999999999999;0.0001831;-999.0;0.0006232999999999999;0.0001831;-999.0;0.000935;0.00022230000000000004;-999.0
78;-10.293600000000026;0.11006527777777778;0.0014119999999999998;0.00029;21173.6;0.0007059999999999999;0.0002102;-999.0;0.0005294;0.00018119999999999999;-999.0;0.00017649999999999998;0.00010149999999999999;-999.0
79;-10.434320833333345;0.26197305555555556;0.03563;0.0013;13482.3;0.01318;0.0007944;-999.0;0.01354;0.0007944;-999.0;0.008908;0.0006428;-999.0
80;-10.320641666666688;0.11137472222222222;0.001039;0.00026000000000000003;20961.3;0.0003845;-0.2597;0.0006865;0.00031180000000000004;0.00014380000000000003;-999.0;0.0007274;0.0002157;-999.0
81;-10.257654166666725;0.10552444444444445;0.010329999999999999;0.0007;17894.4;0.0048920000000000005;0.0004835;-999.0;0.003805;0.0004258;-999.0;0.0016309999999999999;0.0002742;-999.0
82;-10.188045833333376;0.12102222222222223;0.009248000000000001;0.00072;16305.1;0.001285;0.00027110000000000003;-999.0;0.003853;0.0004659;-999.0;0.00411;0.0004744;-999.0
83;-10.082633333333376;0.16908944444444443;0.02068;0.0011;12323.3;0.007387;0.0006443;-999.0;0.007879;0.0006678999999999999;-999.0;0.005416;0.0005579;-999.0
84;-4.415945833333353;0.26130722222222225;0.002344;0.0006;9190.5;0.001172;0.00042530000000000004;-999.0;0.0009767;0.00038730000000000004;-999.0;0.0001953;0.0001747;-999.0
85;-4.396770833333392;0.18911888888888886;0.001696;0.0005099999999999999;9615.9;0.00108;0.0004038;-999.0;0.0006167000000000001;0.00030460000000000003;-999.0;0.0001413;-0.5095;0.001019
86;-4.38110000000006;0.14869527777777777;0.0014140000000000001;0.00047000000000000004;9750.5;0.0004243;0.00025540000000000003;-999.0;0.0004243;0.00025540000000000003;-999.0;0.0005657;0.0002963;-999.0
87;-4.507604166666681;0.29244472222222223;0.004704;0.00084;9673.3;0.0009798;0.00037519999999999996;-999.0;0.001568;0.0004704;-999.0;0.002156;0.0005543999999999999;-999.0
88;-4.26406250000008;0.23975666666666667;0.002539;0.00064;8565.5;0.0022559999999999998;0.0006272000000000001;-999.0;0.00028199999999999997;0.00022400000000000002;-999.0;0.001163;-0.6394;0.0018620000000000002
89;-4.53567083333337;0.23036111111111113;0.0014320000000000001;0.00049;10049.5;0.00014319999999999998;0.0001528;-999.0;0.001146;0.0004373;-999.0;0.00014319999999999998;0.0001528;-999.0
90;-37.302070833333346;-0.24483222222222223;0.001546;0.00039;18847.9;0.0001819;0.0001357;-999.0;0.0008185;0.0002798;-999.0;0.0005456;0.0002289;-999.0
91;-37.242770833333395;-0.2783730555555555;0.001848;0.00044;11753.3;0.000924;0.00031430000000000005;-999.0;0.0007392000000000001;0.0002829;-999.0;0.00018480000000000002;0.00014140000000000002;-999.0
92;-37.32775833333335;-0.34970249999999997;0.001268;0.00037;16981.3;0.0008773;0.0003111;-999.0;0.0002925;0.0001766;-999.0;9.751e-05;0.00010090000000000001;-999.0
93;-37.26557916666667;-0.20340083333333334;0.002085;0.00043;19003.0;0.00028429999999999997;0.0001575;-999.0;0.0008529;0.0002725;-999.0;0.0009480000000000001;0.0002907;-999.0
94;-37.243425;-0.36102416666666665;0.01318;0.0012;4568.4;0.01171;0.001137;-999.0;0.00539;-1.199;0.009675;0.001464;0.00039160000000000003;-999.0
95;-37.39779583333342;-0.23151750000000001;0.007626999999999999;0.00082;17956.2;0.00279;0.0004975;-999.0;0.0026969999999999997;0.0004883;-999.0;0.00214;0.000433;-999.0
96;-37.405333333333374;-0.43122750000000004;0.01941;0.0013;10993.3;0.0064670000000000005;0.0007571;-999.0;0.007055;0.0007647;-999.0;0.005879;0.0007188;-999.0
