,A,A,A,B,B,B,AB,AB,AB
,OBJID,RA,DEC,OBJID,RA,DEC,snr,duplicates,snrs
0,0,0.9401333333333334,-19.159654166666662,0,0.9401333333333334,-19.159654166666662,3.763332861122916,,
1,1,0.9386488888888889,-18.742491666666666,1,0.9386488888888889,-18.742491666666666,3.17785506718103,,
2,2,0.9397233333333334,-18.414649999999998,2,0.9397233333333334,-18.414649999999998,2.7864283688517952,,
3,3,0.9378938888888889,-18.522575,3,0.9378938888888889,-18.522575,3.6218758862733975,,
4,4,0.938033888888889,-18.3183375,4,0.938033888888889,-18.3183375,3.4826666666666664,,
5,5,0.9370441666666667,-18.730454166666664,5,0.9370441666666667,-18.730454166666664,3.1007161089052753,,
6,6,0.9405191666666667,-20.342516666666665,6,0.9405191666666667,-20.342516666666665,2.5999976412869144,,
7,7,0.9341794444444445,-18.59064583333333,7,0.9341794444444445,-18.59064583333333,2.7199999999999998,,
8,8,23.744603611111113,-3.0357166666666666,8,23.744603611111113,-3.0357166666666666,5.207502018906466,,
9,9,23.745737222222225,-1.6899208333333333,9,23.745737222222225,-1.6899208333333333,3.781331536430379,,
10,10,23.739083611111113,-1.7517166666666666,10,23.739083611111113,-1.7517166666666666,2.755407814231344,,
11,11,23.750711944444443,-2.856704166666666,11,23.750711944444443,-2.856704166666666,2.733784746970777,,
12,12,23.75063888888889,-3.0062458333333333,12,23.75063888888889,-3.0062458333333333,3.4055595153243052,,
13,13,23.740640555555558,-4.404920833333333,13,23.740640555555558,-4.404920833333333,2.5422540227474975,,
14,14,23.749538611111113,-0.4007708333333333,14,23.749538611111113,-0.4007708333333333,3.7519977168949774,,
15,15,20.721618055555552,-10.846379166666665,15,20.721618055555552,-10.846379166666665,46.749983884483996,,
16,16,20.72084444444444,-10.1578875,16,20.72084444444444,-10.1578875,12.917955272707772,,
17,17,20.718569166666665,-10.618812499999999,17,20.718569166666665,-10.618812499999999,3.3383316945263846,,
18,18,20.72873722222222,-11.416862499999999,18,20.72873722222222,-11.416862499999999,3.2843750000000003,,
19,19,20.71800111111111,-9.519562499999997,19,20.71800111111111,-9.519562499999997,6.152009123230697,,
20,20,20.728493055555553,-11.902612499999998,20,20.728493055555553,-11.902612499999998,5.113636363636364,,
21,21,20.727021388888886,-9.3130875,21,20.727021388888886,-9.3130875,4.021187210284839,,
22,22,20.72949361111111,-9.7706625,22,20.72949361111111,-9.7706625,3.3968747903106755,,
23,23,20.717088888888888,-9.411370833333333,23,20.717088888888888,-9.411370833333333,3.4211108875025165,,
24,24,20.714965833333334,-11.873841666666666,24,20.714965833333334,-11.873841666666666,3.3841157168686795,,
25,25,20.729151944444443,-9.535479166666665,25,20.729151944444443,-9.535479166666665,3.4373347648124537,,
26,26,20.718110277777775,-8.901116666666667,26,20.718110277777775,-8.901116666666667,5.634786109595676,,
27,27,20.71416138888889,-9.729108333333333,27,20.71416138888889,-9.729108333333333,3.289999832338542,,
28,28,20.721584444444442,-8.622508333333332,28,20.721584444444442,-8.622508333333332,8.636373287283433,,
29,29,20.715841944444445,-12.455804166666665,29,20.715841944444445,-12.455804166666665,4.6166765461371275,,
30,30,20.716126944444444,-9.048675,30,20.716126944444444,-9.048675,2.8806238676776488,,
31,31,20.724206388888888,-8.581841666666666,31,20.724206388888888,-8.581841666666666,8.5133425990271,,
32,32,20.721430555555553,-13.089316666666667,32,20.721430555555553,-13.089316666666667,3.3450006692544503,,
33,33,20.727419444444443,-12.936324999999998,33,20.727419444444443,-12.936324999999998,6.775003347168297,,
34,34,20.722576666666665,-13.298874999999999,34,20.722576666666665,-13.298874999999999,3.893701536056118,,
35,35,20.723151388888887,-13.279904166666665,35,20.723151388888887,-13.279904166666665,3.092778446853116,,
36,36,20.711158333333334,-10.373279166666666,36,20.711158333333334,-10.373279166666666,5.108695652173913,,
37,37,20.71485611111111,-8.876741666666666,37,20.71485611111111,-8.876741666666666,5.113643988702702,,
38,38,20.710950555555556,-11.411470833333333,38,20.710950555555556,-11.411470833333333,3.1183316230164038,,
39,39,20.716179722222222,-8.435691666666667,39,20.716179722222222,-8.435691666666667,6.751720389465562,,
40,40,20.71829972222222,-13.443216666666665,40,20.71829972222222,-13.443216666666665,5.019998662296836,,
41,41,20.713429166666668,-12.756224999999999,41,20.713429166666668,-12.756224999999999,3.1873682803170773,,
42,42,20.712002777777776,-12.861529166666664,42,20.712002777777776,-12.861529166666664,3.911735992468882,,
43,43,20.71184722222222,-12.998445833333331,43,20.71184722222222,-12.998445833333331,3.5962553447354355,,
44,44,20.707650277777777,-11.133491666666664,44,20.707650277777777,-11.133491666666664,9.288891425527463,,
45,45,1.6462425,-10.087704166666665,45,1.6462425,-10.087704166666665,2.625555258156178,,
46,46,1.6438416666666666,-10.030254166666666,46,1.6438416666666666,-10.030254166666666,3.2843638221768017,,
47,47,1.6546444444444444,-9.316004166666666,47,1.6546444444444444,-9.316004166666666,3.1087097715485186,,
48,48,1.6464069444444445,-7.4298874999999995,48,1.6464069444444445,-7.4298874999999995,3.835904181563345,,
49,49,1.657556111111111,-8.7846125,49,1.657556111111111,-8.7846125,3.0757531545392647,,
50,50,1.638706111111111,-10.087379166666665,50,1.638706111111111,-10.087379166666665,4.6500046054115165,,
51,51,1.6383538888888889,-9.93625,51,1.6383538888888889,-9.93625,3.5236897854981524,,
52,52,1.657573611111111,-7.7729375,52,1.657573611111111,-7.7729375,2.4862061416201335,,
53,53,1.6540419444444443,-11.796083333333332,53,1.6540419444444443,-11.796083333333332,7.037359627499316,,
54,54,1.6599538888888887,-8.526233333333332,54,1.6599538888888887,-8.526233333333332,5.572419327249127,,
55,55,1.6485530555555554,-6.581791666666666,55,1.6485530555555554,-6.581791666666666,11.990881556282694,,
56,56,1.6621672222222221,-8.936279166666665,56,1.6621672222222221,-8.936279166666665,7.035723897247133,,
57,57,2.0782669444444446,12.484516666666664,57,2.0782669444444446,12.484516666666664,3.775001235849523,,
58,58,2.084485277777778,13.049987499999999,58,2.084485277777778,13.049987499999999,2.544687150574043,,
59,59,2.079345277777778,10.013937499999997,59,2.079345277777778,10.013937499999997,3.3350017301893327,,
60,60,2.0871047222222225,13.091366666666666,60,2.0871047222222225,13.091366666666666,2.9129588507826853,,
61,61,2.071540555555556,12.127799999999999,61,2.071540555555556,12.127799999999999,7.4830941460957945,,
62,62,20.597211666666666,-6.464124999999999,62,20.597211666666666,-6.464124999999999,2.982280060329919,,
63,63,20.598849444444443,-5.907275,63,20.598849444444443,-5.907275,9.804349185717356,,
64,64,20.598186666666667,-8.106058333333333,64,20.598186666666667,-8.106058333333333,2.296866650473646,,
65,65,20.611370555555556,-5.842029166666666,65,20.611370555555556,-5.842029166666666,2.387502373868456,,
66,66,23.315760277777777,3.6613541666666665,66,23.315760277777777,3.6613541666666665,290.2188969569705,,
67,67,23.319579444444443,4.744479166666666,67,23.319579444444443,4.744479166666666,6.263638487184388,,
68,68,23.30922222222222,4.189183333333333,68,23.30922222222222,4.189183333333333,4.692597533291208,,
69,69,23.309449722222222,3.4859625,69,23.309449722222222,3.4859625,4.107994941688914,,
70,70,23.31094388888889,5.157908333333332,70,23.31094388888889,5.157908333333332,5.1035832022364955,,
71,71,23.3213175,4.513920833333332,71,23.3213175,4.513920833333332,8.056411571671894,,
72,72,23.315704166666666,5.6210749999999985,72,23.315704166666666,5.6210749999999985,4.9642732049036775,,
73,73,23.32026611111111,5.215541666666666,73,23.32026611111111,5.215541666666666,6.109090909090908,,
74,74,23.322569444444444,3.729329166666666,74,23.322569444444444,3.729329166666666,4.038461538461538,,
75,75,23.308072222222222,3.206575,75,23.308072222222222,3.206575,4.071993815447326,,
76,76,23.31793,5.896999999999999,76,23.31793,5.896999999999999,5.824232241202278,,
77,77,23.30603888888889,3.4896666666666665,77,23.30603888888889,3.4896666666666665,6.417651606288731,,
78,78,23.313760000000002,1.6509791666666664,78,23.313760000000002,1.6509791666666664,4.868955817449924,,
79,79,23.30437861111111,3.929595833333333,79,23.30437861111111,3.929595833333333,27.40769230769231,,
80,80,23.311957222222222,1.6706208333333332,80,23.311957222222222,1.6706208333333332,3.996159255652927,,
81,81,23.31615638888889,1.5828666666666666,81,23.31615638888889,1.5828666666666666,14.75714977859785,,
82,82,23.320796944444446,1.8153333333333332,82,23.320796944444446,1.8153333333333332,12.844461518409009,,
83,83,23.327824444444445,2.536341666666666,83,23.327824444444445,2.536341666666666,18.80003003679507,,
84,84,23.705603611111112,3.919608333333333,84,23.705603611111112,3.919608333333333,3.906662394379569,,
85,85,23.706881944444444,2.8367833333333325,85,23.706881944444444,2.8367833333333325,3.3254952258800055,,
86,86,23.707926666666665,2.2304291666666662,86,23.707926666666665,2.2304291666666662,3.008507605283511,,
87,87,23.699493055555557,4.386670833333333,87,23.699493055555557,4.386670833333333,5.600006774666137,,
88,88,23.715729166666666,3.5963499999999997,88,23.715729166666666,3.5963499999999997,3.9671846052444066,,
89,89,23.697621944444446,3.4554166666666664,89,23.697621944444446,3.4554166666666664,2.9224495604831273,,
90,90,21.51319527777778,-3.672483333333333,90,21.51319527777778,-3.672483333333333,3.964102927470036,,
91,91,21.51714861111111,-4.1755958333333325,91,21.51714861111111,-4.1755958333333325,4.199994845327612,,
92,92,21.51148277777778,-5.245537499999999,92,21.51148277777778,-5.245537499999999,3.42703009109868,,
93,93,21.515628055555556,-3.0510124999999997,93,21.515628055555556,-3.0510124999999997,4.84883638538771,,
94,94,21.517105,-5.415362499999999,94,21.517105,-5.415362499999999,10.98333796489278,,
95,95,21.50681361111111,-3.4727625,95,21.50681361111111,-3.4727625,9.301232151979843,,
96,96,21.50631111111111,-6.4684124999999995,96,21.50631111111111,-6.4684124999999995,14.930778947799094,,
97,97,21.501130833333335,-5.273466666666665,97,21.501130833333335,-5.273466666666665,5.930646760712703,,
